loop_ms,infer_ms
23.399,22.108
16.650,15.259
17.889,16.400
15.369,14.203
15.867,14.976
35.918,34.534
16.087,14.859
18.032,16.022
16.449,14.482
14.537,12.791
15.232,13.634
13.818,12.568
15.811,13.634
15.858,14.338
14.033,13.011
37.102,35.512
14.449,13.414
15.911,14.980
16.367,14.702
14.869,13.895
16.017,15.003
17.057,15.025
16.731,15.315
13.733,12.526
16.041,14.296
36.041,34.713
14.220,13.244
15.757,14.456
14.360,13.314
17.540,16.183
19.777,17.698
21.720,20.495
19.063,16.829
16.182,14.428
17.729,15.313
32.463,30.970
9.963,7.372
8.801,7.092
9.410,7.980
10.891,8.443
9.241,7.218
9.944,8.946
8.108,6.894
8.230,6.718
9.211,7.671
32.108,30.932
7.823,6.642
8.453,7.401
7.836,6.660
9.246,7.863
9.322,7.877
8.880,7.364
7.836,6.747
7.317,6.374
8.681,7.368
30.464,29.298
7.036,6.138
7.573,6.677
7.903,7.019
14.147,12.536
7.927,6.904
8.938,7.396
8.950,7.915
7.554,6.290
7.345,6.243
28.918,27.068
7.196,6.174
8.705,7.533
8.100,7.097
7.877,6.795
8.470,7.529
8.283,7.030
8.143,6.945
7.489,6.347
7.957,6.478
29.030,27.877
7.564,6.664
7.362,6.337
6.975,6.051
7.342,5.873
8.492,7.284
8.074,7.158
7.846,6.981
8.138,7.251
7.157,6.209
27.065,26.172
7.350,6.416
7.086,6.095
7.941,7.015
7.141,5.911
8.984,7.686
9.150,6.856
9.408,8.072
7.404,6.252
7.590,6.517
32.560,31.027
9.049,7.500
8.055,7.180
8.139,7.013
7.012,6.064
7.865,6.823
7.819,6.795
7.986,7.078
8.467,7.185
9.655,8.394
27.437,26.537
8.934,7.818
6.913,6.043
8.507,7.338
6.930,5.892
6.931,6.045
8.465,7.207
8.374,7.411
7.690,6.584
7.692,6.554
27.537,26.481
8.647,7.671
7.732,6.486
7.618,6.537
7.488,6.160
7.994,6.333
6.675,5.829
7.732,6.550
7.435,6.514
7.471,6.477
26.866,25.980
7.301,6.419
8.360,7.394
7.002,5.838
8.856,7.957
9.095,7.781
9.551,7.921
7.623,6.385
7.244,6.227
7.642,6.736
27.305,26.445
6.630,5.807
7.125,6.031
7.856,6.975
7.444,6.569
8.215,7.219
8.484,6.873
9.605,8.096
8.150,6.417
7.433,6.327
28.566,27.608
8.106,6.923
7.694,5.781
7.922,6.609
7.143,6.200
7.644,6.708
6.676,5.811
8.754,7.757
9.008,7.076
9.322,8.265
28.770,27.825
9.314,7.858
9.955,7.733
9.367,8.097
9.339,8.245
8.120,7.240
7.778,6.718
8.357,6.755
8.238,6.570
7.327,6.385
28.692,27.771
8.529,7.531
7.442,5.938
7.568,6.030
7.094,6.075
7.288,6.358
7.094,6.239
9.341,8.322
8.619,7.648
8.181,7.012
28.502,27.473
6.510,5.638
6.976,5.935
8.589,7.485
7.756,6.710
8.345,6.639
7.509,6.287
8.490,6.523
7.400,6.401
6.907,6.017
26.787,25.861
6.829,5.915
6.959,5.476
7.132,6.234
7.723,6.197
7.804,6.409
7.104,6.111
7.565,6.359
8.229,6.814
8.664,7.664
27.912,26.952
7.416,6.059
6.916,5.926
8.247,6.911
8.513,7.512
8.841,7.922
8.210,7.355
7.570,6.558
9.993,8.221
8.016,6.633
28.292,26.939
7.213,6.333
7.107,6.271
8.132,7.099
7.586,6.620
8.018,7.091
8.034,7.100
7.532,6.649
7.097,6.059
7.715,6.008
28.742,27.703
9.264,7.323
9.239,7.129
9.093,8.067
8.128,7.176
8.059,6.900
7.584,6.319
7.391,6.363
8.054,6.925
7.687,6.726
27.678,26.736
6.884,6.025
6.748,5.862
8.235,7.264
7.826,6.880
8.057,7.027
8.138,7.271
7.756,6.789
8.104,6.638
7.486,6.119
28.650,27.385
7.123,6.272
7.884,6.251
8.299,7.109
7.526,6.527
7.219,6.287
7.224,6.370
9.996,8.594
8.915,7.617
9.308,8.280
32.474,31.197
6.753,5.928
6.717,5.899
6.953,5.955
7.412,6.491
7.514,6.647
7.731,6.849
7.230,6.342
8.365,7.320
7.613,6.410
27.384,26.160
7.177,6.330
8.988,7.338
7.844,6.920
8.186,7.191
8.565,7.119
7.942,7.001
7.382,6.395
9.135,7.458
7.370,6.154
27.828,26.942
7.396,6.504
7.560,6.631
8.106,7.019
7.857,6.651
8.579,7.217
7.333,6.494
6.923,6.066
8.700,7.566
9.404,7.322
31.300,29.585
8.323,7.032
8.031,6.931
7.580,6.462
8.598,7.678
8.210,7.014
7.569,6.618
7.316,6.397
7.892,6.127
7.344,6.020
28.200,27.032
6.962,6.058
6.823,5.991
8.360,7.409
7.780,6.809
8.119,6.779
7.429,6.534
7.383,6.123
8.090,6.513
7.241,6.078
28.519,26.592
6.862,5.994
7.473,6.463
8.342,7.073
8.078,6.570
7.574,6.377
7.171,6.212
10.721,9.392
10.233,9.203
10.672,9.262
37.981,37.058
9.456,8.516
9.903,8.755
10.580,9.139
10.156,9.155
10.042,8.958
10.187,8.487
10.448,9.149
9.934,8.442
7.057,6.113
28.305,26.751
8.613,6.970
7.053,6.108
7.571,6.498
7.346,6.341
7.712,6.770
8.004,7.101
7.690,6.732
9.112,7.432
7.823,6.335
35.623,34.484
10.051,9.056
9.069,8.097
9.379,8.309
9.986,9.085
9.719,8.802
9.810,8.848
10.612,9.496
10.042,8.910
10.734,8.765
41.493,40.557
7.254,6.338
7.204,6.123
8.596,7.519
7.716,6.539
7.931,6.772
7.512,6.603
8.129,6.913
9.373,7.799
8.546,6.840
28.827,27.298
6.959,6.100
8.003,6.748
8.374,6.738
8.671,7.631
10.129,9.010
9.433,8.432
10.204,9.177
10.308,9.370
9.897,8.669
34.890,33.956
9.017,7.997
9.245,8.230
9.134,8.196
9.317,8.417
10.343,9.333
7.790,6.481
7.175,6.217
7.896,6.227
7.355,6.281
30.077,29.058
9.131,7.902
6.924,5.971
7.453,6.111
7.514,6.620
7.398,6.470
8.225,7.293
7.375,6.387
7.692,6.378
7.880,5.999
28.981,26.835
6.794,5.925
7.605,6.196
7.746,6.077
8.499,7.500
7.106,6.200
7.315,6.485
7.247,6.321
7.394,6.230
8.279,7.325
28.698,27.800
6.866,6.045
6.993,6.114
8.024,7.136
7.270,6.402
7.440,6.516
7.882,6.581
7.059,6.117
8.408,7.228
7.649,5.951
29.515,28.280
9.364,8.261
8.123,6.354
8.290,7.069
7.683,6.787
7.528,6.659
7.650,6.777
8.098,7.160
8.782,7.609
8.410,6.749
28.566,27.244
7.447,6.475
7.892,6.434
9.090,7.488
7.478,6.570
7.620,6.707
7.498,6.651
7.632,6.614
7.776,6.678
7.474,6.503
28.002,27.032
6.943,6.063
7.215,6.287
8.578,7.157
8.605,7.069
7.816,6.490
7.750,6.630
7.269,6.304
8.226,6.462
7.509,6.603
26.905,25.971
7.005,5.933
7.689,6.575
7.288,6.409
7.686,6.746
7.703,6.796
7.698,6.824
8.283,7.362
8.130,7.114
8.956,7.929
28.791,27.825
8.878,7.837
7.502,6.525
6.826,5.904
7.531,6.573
7.444,6.605
7.576,6.640
9.123,8.159
8.346,7.144
8.335,7.075
31.293,30.438
8.905,7.991
10.525,9.486
11.098,9.909
10.254,8.681
9.734,8.642
9.851,8.588
9.717,8.493
10.357,9.390
10.014,9.009
38.753,37.764
9.180,8.184
9.616,8.328
7.440,6.545
9.322,7.591
8.067,6.783
8.326,6.920
11.425,9.913
9.370,7.733
9.335,8.059
31.413,30.371
8.235,6.921
7.660,6.621
6.873,5.859
7.716,6.803
9.490,8.624
10.022,9.132
9.493,8.454
11.299,10.031
9.959,8.609
35.060,33.928
9.071,8.183
8.788,7.838
9.886,8.952
9.929,8.897
9.703,8.708
9.192,8.176
7.197,6.225
7.052,6.088
6.763,5.779
27.789,26.750
7.129,6.239
8.156,7.304
8.412,6.949
7.955,6.618
7.727,6.373
7.567,6.339
7.356,6.433
7.103,6.144
7.856,6.858
28.391,27.343
7.038,6.167
7.976,6.921
7.834,6.206
9.274,8.099
7.595,6.558
7.220,6.245
7.031,6.182
9.305,8.302
8.324,7.294
35.393,34.439
10.986,9.836
12.785,11.525
10.515,9.414
10.202,9.085
10.827,9.664
9.878,8.769
10.631,8.622
10.203,9.117
9.717,8.685
37.158,36.238
10.335,8.761
7.128,6.127
8.323,6.727
7.614,6.474
7.769,6.761
8.035,7.099
9.715,7.882
12.845,11.285
9.722,8.388
28.509,27.489
6.775,5.836
6.779,5.877
7.594,6.175
8.535,7.463
7.535,6.371
7.511,6.488
7.924,6.946
7.541,6.558
7.270,6.048
29.420,28.406
8.399,6.806
7.780,6.623
10.395,9.402
8.337,7.069
8.266,6.869
8.344,7.139
7.324,6.428
7.016,6.163
8.683,7.733
29.509,28.644
6.794,5.891
7.299,6.443
7.528,6.378
8.239,6.714
7.302,6.382
7.286,6.388
7.710,6.801
11.287,9.054
12.160,10.449
35.324,34.348
10.645,9.379
9.128,8.133
9.930,8.731
9.482,8.430
9.601,8.585
9.429,8.349
11.352,10.353
10.386,8.926
10.113,8.534
32.914,31.883
7.075,6.150
9.009,7.649
8.322,6.604
8.218,7.080
7.259,6.219
7.998,7.127
7.480,6.606
7.284,6.388
7.811,6.862
30.272,29.273
7.220,6.159
7.440,6.534
10.976,9.260
10.286,8.856
8.513,7.470
10.478,9.005
9.343,8.237
10.405,9.498
10.324,9.327
35.124,34.200
9.124,8.181
9.322,8.296
9.783,8.802
10.460,8.940
8.770,6.792
6.893,5.921
7.105,6.204
6.891,5.972
7.974,6.638
28.287,27.309
7.055,6.161
9.829,7.842
7.232,6.135
7.547,6.597
7.450,6.420
7.749,6.867
7.479,6.532
8.351,7.110
7.998,6.792
28.346,27.322
7.235,6.361
6.780,5.828
6.952,5.951
7.455,6.271
7.324,6.490
6.903,6.040
7.467,6.541
7.790,6.567
8.381,7.255
30.461,28.978
7.174,5.962
7.048,6.174
8.128,7.167
8.628,7.677
8.239,6.932
7.897,6.733
7.823,6.540
7.044,6.048
8.796,7.458
36.148,35.105
9.773,8.501
10.415,9.439
